sub_headline,sub_headline_url
আনুষ্ঠানিকভাবে ‘পদ্মা সেতু’ নাম পেল,https://www.prothomalo.com/bangladesh/আনুষ্ঠানিকভাবে-পদ্মা-সেতু-নাম-পেল
বাসায় সদ্যজাত শিশু থাকলে এসি ব্যবহারে সতর্কতা,https://www.prothomalo.com/video/bangladesh/বাসায়-সদ্যজাত-শিশু-থাকলে-এসি-ব্যবহারে-সতর্কতা
বাংলাদেশ গণতন্ত্রহীন রাষ্ট্রে পরিণত হয়েছে,https://www.prothomalo.com/bangladesh/district/বাংলাদেশ-গণতন্ত্রহীন-রাষ্ট্রে-পরিণত-হয়েছে
আইনশৃঙ্খলা পরিস্থিতির কারণে নির্বাচন ব্যর্থ হলে দায় জেলা প্রশাসক (ডিসি) ও পুলিশ সুপারের (এসপি)—সিইসি কাজী হাবিবুল আউয়ালের এই বক্তব্যের পর কুমিল্লায় প্রশাসনের নিরপেক্ষ ভূমিকা দেখা যাবে বলে আপনি মনে করেন কি?,https://www.prothomalo.com/poll/আইনশৃঙ্খলা-পরিস্থিতির-কারণে-নির্বাচন-ব্যর্থ-হলে-দায়-জেলা-প্রশাসক-ডিসি-ও-পুলিশ-সুপারের-এসপিসিইসি-কাজী-হাবিবুল-আউয়ালের-এই-বক্তব্যের-পর-কুমিল্লায়-প্রশাসনের-নিরপেক্ষ-ভূমিকা-দেখা-যাবে-বলে-আপনি-মনে-করেন-কি
গ্রামেও ই-কমার্সকে ছড়িয়ে দিতে হবে,https://www.prothomalo.com/technology/গ্রামেও-ই-কমার্সকে-ছড়িয়ে-দিতে-হবে
শিক্ষা ও কাজের অধিকারের দাবিতে আফগান নারীদের বিক্ষোভ,https://www.prothomalo.com/world/asia/শিক্ষা-ও-কাজের-অধিকারের-দাবিতে-আফগান-নারীদের-বিক্ষোভ
যৌতুকের বলি তিন বোন এবং তাঁদের সন্তান,https://www.prothomalo.com/video/bangladesh/যৌতুকের-বলি-তিন-বোন-এবং-তাঁদের-সন্তান
বন্ধুদের সঙ্গে মেঘনায় গোসলে নেমে কিশোরের মৃত্যু,https://www.prothomalo.com/bangladesh/district/বন্ধুদের-সঙ্গে-মেঘনায়-গোসলে-নেমে-কিশোরের-মৃত্যু
নোয়াখালীতে জোড়া লাগানো যমজ কন্যাশিশুর জন্ম,https://www.prothomalo.com/bangladesh/district/নোয়াখালীতে-জোড়া-লাগানো-যমজ-কন্যাশিশুর-জন্ম
'দুটো গান যেন বন্ধু হয়ে গেল',https://www.prothomalo.com/video/entertainment/দুটো-গান-যেন-বন্ধু-হয়ে-গেল
জানাজায় গিয়ে খুন তরুণ,https://www.prothomalo.com/video/bangladesh/জানাজায়-গিয়ে-খুন-তরুণ
রিয়াল মাদ্রিদের ১৪তম চ্যাম্পিয়নস লিগ শিরোপা জয়ের গল্প,https://www.prothomalo.com/video/sports/রিয়াল-মাদ্রিদের-১৪তম-চ্যাম্পিয়নস-লিগ-শিরোপা-জয়ের-গল্প
উমরানের বোলিং যেন এক ঝলক সুবাতাস—বলছেন বাংলাদেশের সাবেক কোচ,https://www.prothomalo.com/sports/cricket/উমরানের-বোলিং-যেন-স্বস্তির-সুবাতাসবলছেন-বাংলাদেশের-সাবেক-কোচ
ছাত্রলীগের সহসভাপতিসহ ৩৩ নেতা-কর্মীর বিরুদ্ধে ছাত্রদল নেত্রীর মামলা,https://www.prothomalo.com/bangladesh/ছাত্রলীগের-সহসভাপতিসহ-৩৩-নেতা-কর্মীর-বিরুদ্ধে-ছাত্রদল-নেত্রীর-মামলা
"আল-আকসা প্রাঙ্গণে ইসরায়েলি পুলিশ–ফিলিস্তিনি সংঘর্ষ, আবারও উত্তেজনা",https://www.prothomalo.com/world/asia/আল-আকসা-প্রাঙ্গণে-ইসরায়েলি-পুলিশফিলিস্তিনি-সংঘর্ষ-আবারও-উত্তেজনা
