sub_headline,sub_headline_url
পাচারের অর্থ ফেরানোর সুযোগ অনৈতিক,https://www.prothomalo.com/business/পাচারের-অর্থ-ফেরানোর-সুযোগ-অনৈতিক
রাঙামাটিতে সরকারি প্রাথমিকে ৪৬২ পদে সহকারী শিক্ষক নিয়োগ,https://www.prothomalo.com/chakri/employment/রাঙামাটিতে-সরকারি-প্রাথমিকে-৪৬২-পদে-সহকারী-শিক্ষক-নিয়োগ
৪–১০ জুন দেশজুড়ে করোনার বুস্টার ডোজ সপ্তাহ,https://www.prothomalo.com/bangladesh/coronavirus/৪১০-জুন-দেশজুড়ে-করোনার-বুস্টার-ডোজ-সপ্তাহ
ইমোতে নারী সেজে প্রতারণা করে টাকা হাতিয়ে নিতেন তিন তরুণ,https://www.prothomalo.com/bangladesh/district/ইমোতে-নারী-সেজে-প্রতারণা-করে-টাকা-হাতিয়ে-নিতেন-তিন-তরুণ
সেভেরোদোনেৎস্কের এক-তৃতীয়াংশ রুশ বাহিনীর নিয়ন্ত্রণে: বিচ্ছিন্নতাবাদী নেতা,https://www.prothomalo.com/world/europe/সেভেরোদোনেৎস্কের-এক-তৃতীয়াংশ-রুশ-বাহিনীর-নিয়ন্ত্রণে-বিচ্ছিন্নতাবাদী-নেতা
মানবাধিকার ও গণমাধ্যমের স্বাধীনতায় ছাড় নেই: মার্কিন রাষ্ট্রদূত,https://www.prothomalo.com/bangladesh/capital/মানবাধিকার-ও-গণমাধ্যমের-স্বাধীনতায়-ছাড়-নেই-মার্কিন-রাষ্ট্রদূত
"আওয়াজ তোলো, নির্যাতন বন্ধ করো",https://www.prothomalo.com/lifestyle/আওয়াজ-তোলো-নির্যাতন-বন্ধ-করো
এসি কিনুন অনলাইনে,https://www.prothomalo.com/bangladesh/এসি-কিনুন-অনলাইনে
কিস্তিতে কিনুন এসি,https://www.prothomalo.com/bangladesh/কিস্তিতে-কিনুন-এসি
কোন ব্র্যান্ডের কী পরেছেন তাঁরা,https://www.prothomalo.com/lifestyle/কোন-ব্র্যান্ডের-কী-পরেছেন-তাঁরা
স্কুল বন্ধ করে লক্ষ্মীপুরে আওয়ামী লীগের সম্মেলন,https://www.prothomalo.com/bangladesh/district/স্কুল-বন্ধ-করে-লক্ষ্মীপুরে-আওয়ামী-লীগের-সম্মেলন
গানের পাখি ইয়র্লিন বা ইয়েলোহ্যামার,https://www.prothomalo.com/bangladesh/environment/গানের-পাখি-ইয়র্লিন-বা-ইয়েলোহ্যামার
মেসিকে বোঝে না পিএসজির কিছু খেলোয়াড়: নেইমার,https://www.prothomalo.com/sports/football/মেসিকে-বোঝে-না-পিএসজির-কিছু-খেলোয়াড়-নেইমার
"কেমন ছিল নিশো, তৌসিফ, মনোজদের সাজপোশাক",https://www.prothomalo.com/lifestyle/কেমন-ছিল-নিশো-তৌসিফ-মনোজদের-সাজপোশাক
পদ্মা সেতুতে শেষ মুহূর্তের প্রস্তুতি,https://www.prothomalo.com/video/bangladesh/পদ্মা-সেতুতে-শেষ-মুহূর্তের-প্রস্তুতি
আহত ছাত্রদল নেতা-কর্মীদের দেখতে হাসপাতালে জোনায়েদ সাকি,https://www.prothomalo.com/politics/আহত-ছাত্রদল-নেতা-কর্মীদের-দেখতে-হাসপাতালে-জোনায়েদ-সাকি
